id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1253062840270729216,1253062840270729216,1587588436000,2020-04-22,16:47:16,Eastern Daylight Time,1220582242965245952,nasheedomari,Omari Nasheed Ali,,"Republicans knew that Corona would target low income people with Asthma, COPD, High Blood Pressure, DIABETES & Poor Nutrition. That's why Trump INTENSIONALLY Failed to Act. That's exactly what  Bush did during Katrina!
That was foreshadowing for this targeted Corona attack.  pic.twitter.com/ZeM8P6H8k1",[],[],['https://pbs.twimg.com/media/EWPF_19UwAE2Z8R.jpg'],0,0,0,[],[],https://twitter.com/NasheedOmari/status/1253062840270729216,False,,0,DC,,,,,,"[{'user_id': '1220582242965245952', 'username': 'NasheedOmari'}]",,,,
1253062433876217857,1252772301763940353,1587588339000,2020-04-22,16:45:39,Eastern Daylight Time,23356161,emperor715,Aztec King,,By the way u leftists blame china for this fuckin corona virus last i checked don lives in the white casa!!!😄,['stephenking'],[],[],0,0,0,[],[],https://twitter.com/Emperor715/status/1253062433876217857,False,,0,DC,,,,,,"[{'user_id': '23356161', 'username': 'Emperor715'}, {'user_id': '2233154425', 'username': 'StephenKing'}]",,,,
1253062368671805440,1253062368671805440,1587588324000,2020-04-22,16:45:24,Eastern Daylight Time,48534676,ronthe_don,TopBoy.,,Damn one of my neighbors died of corona virus. Good dude 💔,[],[],[],0,0,2,[],[],https://twitter.com/RonThe_Don/status/1253062368671805440,False,,0,DC,,,,,,"[{'user_id': '48534676', 'username': 'RonThe_Don'}]",,,,
1253062368462082048,1252895604210089984,1587588324000,2020-04-22,16:45:24,Eastern Daylight Time,134966925,librarianvee,LibrarianVee,,"CNN, I think you mean the locusts.  The locusts probably have done more damage to crops than corona virus.  However, maybe you mean that the virus made the west shutdown their economies so there's no $$$ to prop up locust-eaten countries. That might be a point.",['cnn'],[],[],0,0,0,[],[],https://twitter.com/LibrarianVee/status/1253062368462082048,False,,0,DC,,,,,,"[{'user_id': '134966925', 'username': 'LibrarianVee'}, {'user_id': '759251', 'username': 'CNN'}]",,,,
1253062159862575104,1253050435742695424,1587588274000,2020-04-22,16:44:34,Eastern Daylight Time,1157709780,joeypapp,Joe Papp,,Kitties have corona in NYC!,['danarose1701'],[],[],0,0,0,[],[],https://twitter.com/joeypapp/status/1253062159862575104,False,,0,DC,,,,,,"[{'user_id': '1157709780', 'username': 'joeypapp'}, {'user_id': '265500993', 'username': 'DanaRose1701'}]",,,,
1253062081760428032,1253062081760428032,1587588255000,2020-04-22,16:44:15,Eastern Daylight Time,3942446248,_nayssa,Carole Baskin Stan Account🐯,,Just wait for me and @hernameisbryce to do our housewarming (corona willing😗),['hernameisbryce'],[],[],0,1,5,[],[],https://twitter.com/_nayssa/status/1253062081760428032,False,,0,DC,,,,,,"[{'user_id': '3942446248', 'username': '_nayssa'}, {'user_id': '874382814699036678', 'username': 'hernameisbryce'}]",,,,
1253062064890839041,1253062064890839041,1587588251000,2020-04-22,16:44:11,Eastern Daylight Time,830103403707584512,im4usorg,IM4US,,"IM4US 2020 Conference, Corona & Monthly Update -  https://mailchi.mp/im4us/im4us-2020-conference-corona-monthly-update …",[],['https://mailchi.mp/im4us/im4us-2020-conference-corona-monthly-update'],[],0,0,0,[],[],https://twitter.com/IM4USorg/status/1253062064890839041,False,,0,DC,,,,,,"[{'user_id': '830103403707584512', 'username': 'IM4USorg'}]",,,,
1253061827421929479,1252903727545155589,1587588195000,2020-04-22,16:43:15,Eastern Daylight Time,2932371946,bradktoll,brad toll,,Corona is 10 times less deadly than being an associate of hers,['compoundboss'],[],[],0,0,0,[],[],https://twitter.com/bradktoll/status/1253061827421929479,False,,0,DC,,,,,,"[{'user_id': '2932371946', 'username': 'bradktoll'}, {'user_id': '1174708184126300160', 'username': 'CompoundBoss'}]",,,,
1253061825366802432,1253061825366802432,1587588194000,2020-04-22,16:43:14,Eastern Daylight Time,994319976,chilliwatson,Michelle DavisWatson,,My boy Kamani!  Can't wait to see you play when this Corona stuff is over!!  https://twitter.com/NWJagsBaseball/status/1252581811881992192 …,[],['https://twitter.com/NWJagsBaseball/status/1252581811881992192'],[],0,0,0,[],[],https://twitter.com/chilliwatson/status/1253061825366802432,False,https://twitter.com/NWJagsBaseball/status/1252581811881992192,0,DC,,,,,,"[{'user_id': '994319976', 'username': 'chilliwatson'}]",,,,
1253061345341091841,1253034614429347841,1587588080000,2020-04-22,16:41:20,Eastern Daylight Time,2970071970,penbillvan,Will E Van,,"They have to push a button to authorize us. Corona finger fungus has delayed help for those on soc sec. Remember Each November! ERA! Women! Remove these idiots and never allow them to have power again! For your descendants if not for you, America!",['iamtherealjoan'],[],[],0,0,1,[],[],https://twitter.com/penbillvan/status/1253061345341091841,False,,0,DC,,,,,,"[{'user_id': '2970071970', 'username': 'penbillvan'}, {'user_id': '209768008', 'username': 'IamTheRealJoan'}]",,,,
1253061173584388096,1253061173584388096,1587588039000,2020-04-22,16:40:39,Eastern Daylight Time,769683769,master_toe,master toe tagger,,Listen people it’s called the Wuhan virus that Wuhan virus not the corona virus,[],[],[],0,0,0,[],[],https://twitter.com/master_toe/status/1253061173584388096,False,,0,DC,,,,,,"[{'user_id': '769683769', 'username': 'master_toe'}]",,,,
1253060784617213952,1253013143732858881,1587587946000,2020-04-22,16:39:06,Eastern Daylight Time,125387430,just_mike_s,Just_Mike_S,,"Before Corona:
Walmart exploits their workers
After Corona:
Walmart's hiring just go get a job there.",['cbsnews'],[],[],0,0,1,[],[],https://twitter.com/Just_Mike_S/status/1253060784617213952,False,,0,DC,,,,,,"[{'user_id': '125387430', 'username': 'Just_Mike_S'}, {'user_id': '15012486', 'username': 'CBSNews'}]",,,,
1253060672545525761,1253060672545525761,1587587919000,2020-04-22,16:38:39,Eastern Daylight Time,34788302,ipodkingcarter,iPodKingCarter,,"During this time of quarantine, i'm excited to be a part of ""The Save the Children"" 8-Bit Heart Tee, which is helping children affected by the corona virus.

Get Yours Today:  http://dbh.la/stc8bitheart 

This shirt will be available until May 6th. pic.twitter.com/MJ7Z8uXxsO",[],['http://dbh.la/stc8bitheart'],['https://pbs.twimg.com/media/EWO2m4XWAAY0qtC.jpg'],3,2,16,[],[],https://twitter.com/ipodkingcarter/status/1253060672545525761,False,,0,DC,,,,,,"[{'user_id': '34788302', 'username': 'ipodkingcarter'}]",,,,
1253060637628026881,1253017628911628290,1587587911000,2020-04-22,16:38:31,Eastern Daylight Time,3109262530,moonchildjuly65,moonchild,,"Tigers already have the corona virus, they carry it. Certain domestic cats could too. Now some Ppl are gonna abandon their cats!!! Damn it get the facts straight before releasing this 😡😡😡","['brian_schnee', 'usda']",[],[],0,0,0,[],[],https://twitter.com/moonchildjuly65/status/1253060637628026881,False,,0,DC,,,,,,"[{'user_id': '3109262530', 'username': 'moonchildjuly65'}, {'user_id': '257663572', 'username': 'brian_schnee'}, {'user_id': '61853389', 'username': 'USDA'}]",,,,
1253060581638225925,1251630500466298880,1587587898000,2020-04-22,16:38:18,Eastern Daylight Time,2950325307,viejo_x,viejo X,,More dead meet for corona,['aremond2'],[],[],0,0,0,[],[],https://twitter.com/viejo_x/status/1253060581638225925,False,,0,DC,,,,,,"[{'user_id': '2950325307', 'username': 'viejo_x'}, {'user_id': '952168111322562560', 'username': 'AreMond2'}]",,,,
1253060432857829376,1253060432857829376,1587587862000,2020-04-22,16:37:42,Eastern Daylight Time,9614422,andrewcfrancis,Andrew Coleman Francis,,"""Gonna drive to Las Vegas and corona myself to death...""  pic.twitter.com/5kdZEqckyS",[],[],['https://pbs.twimg.com/media/EWPDxYJWkAI-ibv.png'],0,0,3,[],[],https://twitter.com/AndrewCFrancis/status/1253060432857829376,False,,0,DC,,,,,,"[{'user_id': '9614422', 'username': 'AndrewCFrancis'}]",,,,
